PipeID,Age,Diameter,Depth,Slope,Length,Pipe_type,Connection,Pipe_form,Material,Rainfall,Geology,GroundWater Level,Soil_type,Landslide_area,Population,Building_area,Land_cover,Distance_to_road,TrafficVol
96,50,200,-2.43,1.92,41.69,Stormwater,MUF,S,BET,125.02,Geology-0,23.52,SoilType-3,No,239,No,LandCover-4,RoadClass-1,0
97,50,200,-2.7,1.31,27.35,Stormwater,MUF,S,BET,124.73,Geology-0,23.46,SoilType-3,No,239,No,LandCover-4,RoadClass-1,0
98,50,150,-3.07,5.66,25.22,Stormwater,MUF,S,BET,124.56,Geology-0,23.44,SoilType-3,No,150,No,LandCover-2,RoadClass-3,0
100,74,400,-0.29,1.03,38.37,Combined,MUF,S,BET,125.22,Geology-0,23.71,SoilType-3,No,150,No,LandCover-2,RoadClass-1,22800
101,74,400,-1.34,0.97,70.03,Combined,MUF,S,BET,126.7,Geology-0,24.18,SoilType-2,No,150,No,LandCover-4,RoadClass-1,22800
105,50,160,-1.29,0.63,53.24,Wastewater,Others,S,PVC,122.36,Geology-0,22.64,SoilType-3,No,239,No,LandCover-2,RoadClass-0,0
107,50,160,-3.38,2.56,16.23,Wastewater,Others,S,PVC,123.97,Geology-0,23.25,SoilType-3,No,150,No,LandCover-1,RoadClass-3,0
108,50,200,-1.31,0.5,52.41,Stormwater,MUF,S,BET,122.36,Geology-0,22.64,SoilType-3,No,239,No,LandCover-2,RoadClass-0,0
110,55,200,-5.48,0.7,57.71,Wastewater,Others,S,PVC,122.1,Geology-2,22.35,SoilType-0,No,239,No,LandCover-4,RoadClass-2,0
111,55,160,-4.59,12.83,39.71,Wastewater,Others,S,PVC,121.61,Geology-2,22.09,SoilType-0,No,239,No,LandCover-4,RoadClass-1,0
133,74,200,-1.5,1.9,29.92,Wastewater,MUF,S,BET,124.23,Geology-0,23.41,SoilType-3,No,150,No,LandCover-2,RoadClass-0,22800
134,74,200,-0.85,0.9,53.56,Wastewater,MUF,S,BET,123.03,Geology-0,23.05,SoilType-2,No,150,No,LandCover-2,RoadClass-0,22800
135,74,400,-1.48,1.78,30.14,Combined,MUF,S,BET,124.23,Geology-0,23.41,SoilType-3,No,150,No,LandCover-2,RoadClass-0,22800
136,74,400,-0.84,0.77,53.55,Combined,MUF,S,BET,123.03,Geology-0,23.05,SoilType-2,No,150,No,LandCover-2,RoadClass-0,22800
140,72,200,-1.13,5.02,20.38,Wastewater,MUF,S,BET,127.74,Geology-0,24.53,SoilType-2,No,150,No,LandCover-4,RoadClass-0,2460
141,72,300,-1.11,6.13,21.55,Combined,MUF,S,BET,127.71,Geology-0,24.53,SoilType-2,No,150,No,LandCover-4,RoadClass-0,2460
636,44,110,-1.69,4.9,21.38,Wastewater,Others,S,PVC,122.36,Geology-2,18.49,SoilType-9,No,84,No,LandCover-4,RoadClass-2,0
687,44,125,-1.72,1.72,22.81,Wastewater,Others,S,PVC,122.29,Geology-0,18.53,SoilType-9,No,84,No,LandCover-4,RoadClass-2,0
690,44,110,-0.83,5.88,25.97,Wastewater,Others,S,PVC,122.32,Geology-0,18.51,SoilType-9,No,84,No,LandCover-4,RoadClass-3,0
691,44,110,-1.47,5.98,25.02,Stormwater,Others,S,PVC,122.32,Geology-0,18.51,SoilType-9,No,84,No,LandCover-4,RoadClass-3,0
692,44,110,-1.72,9.65,29.29,Stormwater,Others,S,PVC,122.34,Geology-2,18.51,SoilType-9,No,84,No,LandCover-4,RoadClass-2,0
711,44,110,-1.42,2.35,40.37,Stormwater,Others,S,PVC,122.29,Geology-0,18.53,SoilType-9,No,84,No,LandCover-4,RoadClass-2,0
713,44,110,-1.85,9.88,27.64,Wastewater,Others,S,PVC,122.34,Geology-2,18.51,SoilType-9,No,84,No,LandCover-4,RoadClass-2,0
735,44,110,-0.88,1.38,11.8,Wastewater,Others,S,PVC,122.34,Geology-2,18.5,SoilType-9,No,84,No,LandCover-1,RoadClass-0,0
736,44,110,-2.63,3.94,38.65,Wastewater,Others,S,PVC,122.32,Geology-2,18.52,SoilType-9,No,84,No,LandCover-2,RoadClass-0,0
737,44,110,-0.83,0.61,11.68,Stormwater,Others,S,PVC,122.34,Geology-2,18.5,SoilType-9,No,84,No,LandCover-1,RoadClass-0,0
738,44,110,-2.66,3.96,37.45,Stormwater,Others,S,PVC,122.32,Geology-2,18.51,SoilType-9,No,84,No,LandCover-2,RoadClass-0,0
752,44,110,-1.42,18.47,11.51,Stormwater,Others,S,PVC,122.36,Geology-2,18.49,SoilType-9,No,84,No,LandCover-1,RoadClass-1,0
753,44,110,-1.53,-3.72,2.75,Stormwater,Others,S,PVC,122.36,Geology-2,18.49,SoilType-9,No,84,No,LandCover-1,RoadClass-2,0
754,44,110,-1.13,16.26,13.01,Wastewater,Others,S,PVC,122.36,Geology-2,18.49,SoilType-9,No,84,No,LandCover-1,RoadClass-1,0
756,44,110,-0.81,2.09,12.56,Stormwater,Others,S,PVC,122.36,Geology-2,18.49,SoilType-9,No,84,No,LandCover-1,RoadClass-1,0
766,44,110,-1.84,4.82,23.27,Stormwater,Others,S,PVC,122.36,Geology-2,18.49,SoilType-9,No,84,No,LandCover-4,RoadClass-2,0
767,44,110,-1.43,5.97,7.84,Stormwater,Others,S,PVC,122.36,Geology-2,18.49,SoilType-9,No,84,No,LandCover-4,RoadClass-0,0
769,44,110,-1.6,5.12,9.73,Wastewater,Others,S,PVC,122.36,Geology-2,18.49,SoilType-9,No,84,No,LandCover-4,RoadClass-0,0
774,44,110,-2.14,-2.27,15.67,Stormwater,Others,S,PVC,122.35,Geology-2,18.49,SoilType-9,No,84,No,LandCover-1,RoadClass-1,0
778,44,110,-2.7,9.61,2.69,Wastewater,Others,S,PVC,122.34,Geology-2,18.5,SoilType-9,No,84,No,LandCover-1,RoadClass-2,0
782,44,110,-2.26,2.39,14.9,Wastewater,Others,S,PVC,122.35,Geology-2,18.49,SoilType-9,No,84,No,LandCover-1,RoadClass-1,0
783,44,110,-2.81,2.01,28.37,Wastewater,Others,S,PVC,122.33,Geology-2,18.5,SoilType-9,No,84,No,LandCover-2,RoadClass-2,0
784,44,110,-2.93,8.84,2.99,Stormwater,Others,S,PVC,122.34,Geology-2,18.5,SoilType-9,No,84,No,LandCover-1,RoadClass-2,0
822,44,110,-1.45,3.37,16.67,Wastewater,Others,S,PVC,122.36,Geology-2,18.49,SoilType-9,No,84,No,LandCover-1,RoadClass-1,0
831,44,110,-2.08,0.51,68.85,Stormwater,Others,S,PVC,122.28,Geology-2,18.54,SoilType-9,No,84,No,LandCover-1,RoadClass-0,0
838,44,110,-1.35,-2.93,33.19,Stormwater,Others,S,PVC,122.25,Geology-2,18.56,SoilType-9,No,84,No,LandCover-2,RoadClass-2,0
846,44,110,-1.52,-3.63,33.76,Wastewater,Others,S,PVC,122.25,Geology-2,18.56,SoilType-9,No,84,No,LandCover-2,RoadClass-2,0
851,44,160,-0.88,2.47,79.06,Stormwater,Others,S,PVC,122.24,Geology-0,18.56,SoilType-9,No,84,No,LandCover-1,RoadClass-2,0
852,44,160,-2.79,29.14,10.64,Stormwater,Others,S,PVC,122.22,Geology-2,18.58,SoilType-9,No,84,No,LandCover-4,RoadClass-3,0
853,44,160,-0.96,3.65,14.76,Wastewater,Others,S,PVC,122.27,Geology-0,18.54,SoilType-9,No,84,No,LandCover-4,RoadClass-0,0
855,44,125,-2.73,28.71,10.82,Wastewater,Others,S,PVC,122.23,Geology-2,18.58,SoilType-9,No,84,No,LandCover-4,RoadClass-3,0
856,44,160,-3.58,5.12,28.24,Stormwater,Others,S,PVC,122.23,Geology-2,18.58,SoilType-9,No,84,No,LandCover-2,RoadClass-2,0
887,44,160,-3.17,5.08,28.45,Wastewater,Others,S,PVC,122.23,Geology-2,18.58,SoilType-9,No,84,No,LandCover-2,RoadClass-2,0
890,44,160,-1.86,4.66,16.61,Wastewater,Others,S,PVC,122.24,Geology-2,18.57,SoilType-9,No,84,No,LandCover-4,RoadClass-0,0
891,44,160,-2.08,4.56,16.78,Stormwater,Others,S,PVC,122.23,Geology-2,18.58,SoilType-9,No,84,No,LandCover-4,RoadClass-0,0
892,44,160,-1.73,3.4,32.54,Stormwater,Others,S,PVC,122.24,Geology-2,18.57,SoilType-9,No,84,No,LandCover-1,RoadClass-0,0
895,44,160,-1.94,2.61,30.42,Wastewater,Others,S,PVC,122.24,Geology-2,18.57,SoilType-9,No,84,No,LandCover-1,RoadClass-0,0
917,44,110,-1.27,3.87,31.67,Wastewater,Others,S,PVC,122.23,Geology-2,18.59,SoilType-9,No,147,No,LandCover-1,RoadClass-0,0
919,44,110,-1.12,0.71,43.05,Stormwater,Others,S,PVC,122.21,Geology-2,18.61,SoilType-9,No,147,No,LandCover-2,RoadClass-0,0
920,44,110,-0.74,1.06,7.04,Stormwater,Others,S,PVC,122.2,Geology-2,18.62,SoilType-9,No,22,No,LandCover-2,RoadClass-0,0
921,44,110,-1.11,3.71,31.74,Stormwater,Others,S,PVC,122.23,Geology-2,18.59,SoilType-9,No,147,No,LandCover-1,RoadClass-0,0
939,44,110,-0.84,0.93,8.57,Wastewater,Others,S,PVC,122.2,Geology-2,18.62,SoilType-9,No,22,No,LandCover-2,RoadClass-0,0
940,44,110,-1.09,-0.7,2.55,Stormwater,Others,S,PVC,122.21,Geology-2,18.61,SoilType-9,No,138,No,LandCover-2,RoadClass-0,0
941,44,110,-1.06,0.87,1.64,Wastewater,Others,S,PVC,122.21,Geology-2,18.61,SoilType-9,No,138,No,LandCover-2,RoadClass-0,0
945,44,110,-1.39,6.8,8.18,Stormwater,Others,S,PVC,122.22,Geology-2,18.59,SoilType-9,No,84,No,LandCover-2,RoadClass-0,0
947,44,110,-1.39,6.33,9.08,Wastewater,Others,S,PVC,122.22,Geology-2,18.59,SoilType-9,No,84,No,LandCover-2,RoadClass-0,0
948,44,110,-1.61,2.58,40.97,Stormwater,Others,S,PVC,122.24,Geology-2,18.57,SoilType-9,No,84,No,LandCover-1,RoadClass-0,0
950,44,110,-1.72,3.09,41.34,Wastewater,Others,S,PVC,122.24,Geology-2,18.57,SoilType-9,No,84,No,LandCover-1,RoadClass-0,0
952,44,110,-1.67,0.9,43.11,Wastewater,Others,S,PVC,122.21,Geology-2,18.61,SoilType-9,No,147,No,LandCover-2,RoadClass-0,0
969,44,110,-1.8,1.28,22.16,Stormwater,Others,S,PVC,122.19,Geology-2,18.67,SoilType-9,No,138,No,LandCover-1,RoadClass-0,0
970,44,110,-1.91,6.46,1.82,Stormwater,Others,S,PVC,122.19,Geology-2,18.68,SoilType-9,No,138,No,LandCover-4,RoadClass-1,0
976,30,160,-1.78,9.13,42.75,Stormwater,Others,S,PVC,148.04,Geology-2,14.32,SoilType-9,No,24,No,LandCover-4,RoadClass-4,0
977,44,110,-2.06,0.94,8.26,Wastewater,Others,S,PVC,122.19,Geology-2,18.68,SoilType-9,No,138,No,LandCover-1,RoadClass-0,0
978,44,110,-1.63,1.98,15.99,Wastewater,Others,S,PVC,122.19,Geology-2,18.67,SoilType-9,No,138,No,LandCover-2,RoadClass-1,0
979,44,110,-1.82,10.4,1.67,Wastewater,Others,S,PVC,122.19,Geology-2,18.68,SoilType-9,No,138,No,LandCover-4,RoadClass-1,0
981,31,225,-0.57,-2.74,46.93,Combined,MUF,S,BET,150.09,Geology-2,14.9,SoilType-4,No,69,No,LandCover-4,RoadClass-3,0
985,35,200,-1.61,0.54,18.79,Combined,Others,S,PVC,145.12,Geology-0,18.2,SoilType-9,No,18,No,LandCover-4,RoadClass-1,0
987,35,200,-1.87,6.81,22.29,Wastewater,Others,S,PVC,145.15,Geology-0,18.19,SoilType-9,No,18,No,LandCover-4,RoadClass-0,0
990,35,160,-2.31,8.13,1.76,Wastewater,Others,S,PVC,145.12,Geology-0,18.19,SoilType-9,No,18,No,LandCover-4,RoadClass-1,0
992,35,315,-1.4,-69.82,1.59,Wastewater,Others,S,PVC,145.1,Geology-0,18.19,SoilType-9,No,18,No,LandCover-4,RoadClass-2,0
1026,44,110,-0.81,2.97,88.35,Stormwater,Others,S,PVC,122.2,Geology-2,18.63,SoilType-9,No,138,No,LandCover-1,RoadClass-0,0
1027,44,110,-0.66,2.55,42.44,Wastewater,Others,S,PVC,122.2,Geology-2,18.64,SoilType-9,No,138,No,LandCover-2,RoadClass-0,0
1028,44,110,-2.13,3.34,45.63,Wastewater,Others,S,PVC,122.22,Geology-2,18.6,SoilType-9,No,147,No,LandCover-2,RoadClass-0,0
1029,44,400,-1.14,0.3,39.02,Stormwater,MUF,S,BET,122.21,Geology-2,18.89,SoilType-9,No,95,No,LandCover-2,RoadClass-0,0
1030,44,400,-2.48,0.39,40.83,Stormwater,MUF,S,BET,122.24,Geology-2,18.95,SoilType-9,No,95,No,LandCover-4,RoadClass-0,0
1031,44,400,-2.94,0.43,14.62,Stormwater,MUF,S,BET,122.26,Geology-2,18.99,SoilType-9,No,95,No,LandCover-4,RoadClass-0,0
1032,44,400,-2.49,0.34,23.26,Stormwater,MUF,S,BET,122.27,Geology-2,19.02,SoilType-9,No,95,No,LandCover-4,RoadClass-0,0
1033,44,400,-1.8,0.37,52.99,Stormwater,MUF,S,BET,122.3,Geology-2,19.08,SoilType-9,No,95,No,LandCover-2,RoadClass-0,0
1034,44,400,-1.15,0.42,45.04,Stormwater,MUF,S,BET,122.35,Geology-2,19.16,SoilType-9,No,95,No,LandCover-4,RoadClass-0,0
1035,44,400,-1.47,4.63,55.43,Stormwater,MUF,S,BET,122.4,Geology-2,19.23,SoilType-9,No,95,No,LandCover-4,RoadClass-1,0
1036,35,200,-1.83,2.92,25.92,Wastewater,Others,S,PVC,122.21,Geology-2,18.87,SoilType-9,No,138,No,LandCover-4,RoadClass-1,0
1037,44,200,-1.13,0.52,36.01,Wastewater,Others,S,PVC,122.21,Geology-2,18.89,SoilType-9,No,95,No,LandCover-2,RoadClass-0,0
1038,44,200,-2.43,0.39,41.3,Wastewater,Others,S,PVC,122.24,Geology-2,18.95,SoilType-9,No,95,No,LandCover-2,RoadClass-0,0
1039,44,200,-2.65,0.32,37.41,Wastewater,Others,S,PVC,122.27,Geology-2,19.01,SoilType-9,No,95,No,LandCover-4,RoadClass-1,0
1041,44,200,-1.78,0.48,53.83,Wastewater,Others,S,PVC,122.3,Geology-2,19.08,SoilType-9,No,95,No,LandCover-2,RoadClass-1,0
1042,44,200,-1.07,0.38,48.36,Wastewater,Others,S,PVC,122.35,Geology-2,19.16,SoilType-9,No,95,No,LandCover-4,RoadClass-0,0
1043,44,200,-1.36,4.69,50.77,Wastewater,Others,S,PVC,122.4,Geology-2,19.23,SoilType-9,No,95,No,LandCover-4,RoadClass-1,0
1053,44,125,-2.28,-2.82,24.89,Wastewater,Others,S,PVC,147.14,Geology-0,18.19,SoilType-9,No,102,No,LandCover-2,RoadClass-4,0
1054,44,125,-2.07,3.68,21.81,Wastewater,Others,S,PVC,147.25,Geology-0,18.25,SoilType-9,No,102,No,LandCover-2,RoadClass-4,0
1055,44,125,-1.43,-5.26,22.61,Wastewater,Others,S,PVC,147.35,Geology-0,18.28,SoilType-9,No,102,No,LandCover-2,RoadClass-3,0
1060,44,160,-1.89,6.59,18.04,Wastewater,Others,S,PVC,147.43,Geology-0,18.33,SoilType-9,No,102,No,LandCover-2,RoadClass-3,0
1114,44,125,-2.47,0,84.49,Stormwater,Others,S,Others,147.28,Geology-0,18.26,SoilType-9,No,102,No,LandCover-2,RoadClass-4,0
1116,44,125,-2.83,-4.84,12.35,Wastewater,Others,S,PVC,147.48,Geology-0,18.35,SoilType-9,No,102,No,LandCover-2,RoadClass-3,0
1121,44,110,-2.66,3.47,12.59,Stormwater,Others,S,Others,147.48,Geology-0,18.35,SoilType-9,No,102,No,LandCover-2,RoadClass-3,0
1122,44,110,-1.65,4.75,18.89,Wastewater,Others,S,PVC,147.28,Geology-0,18.34,SoilType-9,No,102,Yes,LandCover-2,RoadClass-3,0
1127,73,150,-2.09,1.83,37.19,Combined,MUF,S,BET,122.42,Geology-2,19.18,SoilType-9,No,95,No,LandCover-2,RoadClass-3,0
1128,73,225,-1.96,-1.5,35.73,Combined,Others,S,BET,122.39,Geology-2,19.15,SoilType-9,No,95,No,LandCover-2,RoadClass-1,0
1129,73,225,-2.42,1.13,41.63,Combined,Others,S,BET,122.44,Geology-2,19.22,SoilType-9,No,95,No,LandCover-4,RoadClass-0,0
1130,44,160,-1.64,8.32,11.43,Wastewater,Others,S,PVC,147.23,Geology-0,18.32,SoilType-9,No,102,No,LandCover-2,RoadClass-3,0
1131,44,110,-1.37,1.77,7.63,Wastewater,Others,S,PVC,147.04,Geology-0,18.3,SoilType-9,No,102,No,LandCover-2,RoadClass-3,0
1132,44,110,-0.88,1.29,15.45,Wastewater,Others,S,PVC,147.04,Geology-0,18.31,SoilType-9,No,102,No,LandCover-2,RoadClass-3,0
1133,44,110,-1.31,4.74,21.56,Wastewater,Others,S,PVC,147.13,Geology-0,18.29,SoilType-9,No,102,No,LandCover-1,RoadClass-3,0
1134,14,150,-3.25,6.7,51.89,Combined,MUF,S,Others,122.54,Geology-2,19.38,SoilType-9,No,107,No,LandCover-1,RoadClass-0,0
1136,75,300,-3.07,14.93,1.5,Stormwater,MUF,S,BET,122.52,Geology-2,19.38,SoilType-9,No,107,No,LandCover-1,RoadClass-1,0
1137,14,300,-1.43,8.35,41.46,Stormwater,MUF,S,Others,122.51,Geology-2,19.38,SoilType-9,No,179,No,LandCover-2,RoadClass-3,0
1139,44,400,-0.65,4.24,48.28,Stormwater,MUF,S,BET,122.45,Geology-2,19.31,SoilType-9,No,179,No,LandCover-1,RoadClass-1,0
1140,41,400,-1.09,4.15,49.39,Stormwater,MUF,S,BET,122.51,Geology-2,19.4,SoilType-9,No,179,No,LandCover-4,RoadClass-0,0
1141,41,400,-1.61,4.19,47.45,Stormwater,MUF,S,BET,122.58,Geology-0,19.48,SoilType-9,No,179,No,LandCover-1,RoadClass-0,0
1143,41,400,-4.01,3.72,54.34,Stormwater,MUF,S,BET,122.67,Geology-0,19.59,SoilType-9,No,179,No,LandCover-4,RoadClass-0,0
1144,41,400,-2.71,5.2,10.28,Stormwater,MUF,S,BET,122.72,Geology-0,19.65,SoilType-9,No,179,No,LandCover-4,RoadClass-0,0
1145,41,400,-1.83,5.24,16.63,Stormwater,MUF,S,BET,122.7,Geology-0,19.63,SoilType-9,No,179,No,LandCover-4,RoadClass-2,0
1146,45,600,-1.6,0.67,25.74,Stormwater,MUF,S,BET,122.7,Geology-0,19.64,SoilType-9,No,179,No,LandCover-2,RoadClass-2,0
1147,45,600,-1.88,0.3,24.27,Stormwater,MUF,S,BET,122.65,Geology-0,19.59,SoilType-9,No,179,No,LandCover-2,RoadClass-2,0
1155,45,200,-0.09,0.73,40.72,Combined,Others,S,PVC,122.59,Geology-0,19.53,SoilType-9,No,179,No,LandCover-3,RoadClass-3,0
1156,45,200,-1.75,0.44,25.51,Combined,Others,S,PVC,122.65,Geology-0,19.59,SoilType-9,No,179,No,LandCover-2,RoadClass-2,0
1157,45,200,-1.56,0.56,24.68,Combined,Others,S,PVC,122.7,Geology-0,19.64,SoilType-9,No,179,No,LandCover-2,RoadClass-2,0
1158,41,160,-1.67,1.18,15.05,Wastewater,Others,S,PVC,122.7,Geology-0,19.63,SoilType-9,No,179,No,LandCover-4,RoadClass-2,0
1159,41,160,-1.95,0.11,6.6,Wastewater,Others,S,PVC,122.73,Geology-0,19.66,SoilType-9,No,179,No,LandCover-2,RoadClass-0,0
1160,41,160,-2.74,5.77,14.7,Wastewater,Others,S,PVC,122.72,Geology-0,19.65,SoilType-9,No,179,No,LandCover-4,RoadClass-0,0
1161,41,200,-2.45,-0.71,10.44,Combined,Others,S,PVC,122.74,Geology-0,19.68,SoilType-9,No,179,No,LandCover-2,RoadClass-1,0
1163,45,160,-1.61,-0.38,6.96,Wastewater,Others,S,PVC,122.72,Geology-0,19.65,SoilType-9,No,179,No,LandCover-2,RoadClass-1,0
1165,41,200,-2.23,3.41,3.54,Combined,Others,S,PVC,122.74,Geology-0,19.67,SoilType-9,No,179,No,LandCover-2,RoadClass-1,0
1166,41,200,-3.92,3.71,52.3,Wastewater,Others,S,PVC,122.67,Geology-0,19.59,SoilType-9,No,179,No,LandCover-4,RoadClass-0,0
1167,41,200,-2.23,3.86,36.38,Wastewater,Others,S,PVC,122.59,Geology-0,19.5,SoilType-9,No,179,No,LandCover-2,RoadClass-0,0
1168,41,200,-1.48,5.05,11.12,Wastewater,Others,S,PVC,122.55,Geology-0,19.46,SoilType-9,No,179,No,LandCover-4,RoadClass-0,0
1169,75,225,-4.32,16.13,30.51,Wastewater,MUF,S,BET,122.57,Geology-2,19.47,SoilType-9,No,179,No,LandCover-4,RoadClass-1,0
1170,75,225,-4.06,-0.76,26.56,Wastewater,MUF,S,BET,122.59,Geology-2,19.47,SoilType-9,No,107,No,LandCover-4,RoadClass-2,0
1171,75,225,-4.52,12.03,36.88,Wastewater,MUF,S,BET,122.64,Geology-2,19.5,SoilType-9,No,107,No,LandCover-4,RoadClass-3,0
1172,75,150,-0.88,2.21,13.19,Wastewater,MUF,S,BET,122.74,Geology-2,19.57,SoilType-9,No,107,No,LandCover-2,RoadClass-0,0
1175,75,125,-1.4,-4.36,35.34,Wastewater,Others,S,PVC,122.68,Geology-2,19.52,SoilType-9,No,107,No,LandCover-1,RoadClass-1,0
1176,75,150,-1.2,2.82,19.19,Wastewater,MUF,S,BET,122.69,Geology-2,19.51,SoilType-9,No,107,No,LandCover-4,RoadClass-0,0
1182,66,225,-2.17,0.95,31.11,Wastewater,MUF,S,BET,147.59,Geology-0,19.22,SoilType-9,No,182,No,LandCover-2,RoadClass-3,0
1187,54,160,-2.1,3.4,25.06,Stormwater,MUF,S,PVC,147.04,Geology-2,18.27,SoilType-5,No,72,No,LandCover-4,RoadClass-2,0
1190,41,200,-1.38,4.08,49.45,Wastewater,Others,S,PVC,122.52,Geology-2,19.41,SoilType-9,No,179,No,LandCover-4,RoadClass-1,0
1191,44,200,-0.6,4.36,51.84,Wastewater,Others,S,PVC,122.45,Geology-2,19.31,SoilType-9,No,179,No,LandCover-1,RoadClass-1,0
1221,68,225,-2.45,-3.75,11.52,Wastewater,MUF,S,BET,151.22,Geology-2,21.27,SoilType-4,No,64,No,LandCover-1,RoadClass-0,0
1222,70,300,-2.27,0.09,66.62,Combined,MUF,S,BET,151.53,Geology-2,24.17,SoilType-2,No,64,No,LandCover-2,RoadClass-0,0
1229,78,125,-1.36,2.84,69.32,Wastewater,MUF,S,BET,151.54,Geology-0,27.94,SoilType-6,No,198,No,LandCover-2,RoadClass-0,0
1230,68,225,-3.51,5.67,55.34,Wastewater,MUF,S,BET,152.64,Geology-0,27.83,SoilType-6,No,89,Yes,LandCover-1,RoadClass-2,0
1231,68,150,-3.36,2.81,2.85,Stormwater,MUF,S,BET,151.47,Geology-2,22.12,SoilType-4,No,70,No,LandCover-1,RoadClass-3,0
1236,41,110,-2,-0.32,3.36,Wastewater,Others,S,PVC,122.75,Geology-0,19.69,SoilType-9,No,179,No,LandCover-2,RoadClass-2,0
1237,41,200,-2.63,0.19,48.91,Combined,Others,S,PVC,122.8,Geology-0,19.73,SoilType-9,No,179,No,LandCover-2,RoadClass-0,0
1238,41,200,-1.78,0.62,47.76,Combined,Others,S,PVC,122.91,Geology-0,19.84,SoilType-9,No,138,No,LandCover-2,RoadClass-0,0
1239,41,200,-0.7,0.17,49.06,Combined,Others,S,PVC,123.02,Geology-0,19.94,SoilType-9,No,138,No,LandCover-2,RoadClass-0,0
1240,41,200,-1.44,0.42,49.9,Combined,Others,S,PVC,123.14,Geology-0,20.06,SoilType-4,No,138,No,LandCover-1,RoadClass-0,0
1241,60,200,-1.96,0.62,40.45,Wastewater,Others,S,PVC,123.25,Geology-0,20.16,SoilType-4,No,138,No,LandCover-1,RoadClass-0,0
1242,43,250,-1.13,3.51,5.22,Wastewater,Others,S,PVC,149.05,Geology-0,18.16,SoilType-6,No,107,No,LandCover-1,RoadClass-0,2290
1243,60,200,-2.17,0.08,13.95,Wastewater,Others,S,PVC,123.35,Geology-0,20.24,SoilType-4,No,138,No,LandCover-1,RoadClass-0,0
1245,45,600,-2.59,0.39,52.17,Stormwater,MUF,S,BET,122.8,Geology-0,19.73,SoilType-9,No,179,No,LandCover-2,RoadClass-1,0
1271,43,250,-4.32,2,20.76,Stormwater,MUF,S,BET,149,Geology-0,18.14,SoilType-6,No,107,No,LandCover-1,RoadClass-0,15400
1272,78,150,-1.69,3.41,18.63,Wastewater,MUF,S,BET,150.79,Geology-2,25.59,SoilType-2,No,248,No,LandCover-1,RoadClass-2,0
1273,41,300,-1.2,-0.1,49.38,Stormwater,MUF,S,BET,123.13,Geology-0,20.05,SoilType-4,No,138,No,LandCover-1,RoadClass-0,0
1274,60,300,-1.99,0.67,41.08,Stormwater,MUF,S,BET,123.25,Geology-0,20.16,SoilType-4,No,138,No,LandCover-1,RoadClass-1,0
1275,60,300,-2.11,-0.37,16.37,Stormwater,MUF,S,BET,123.35,Geology-0,20.24,SoilType-4,No,138,No,LandCover-1,RoadClass-0,0
1280,78,150,-1.23,4.92,16.15,Wastewater,MUF,S,BET,151.26,Geology-2,25.85,SoilType-4,No,237,No,LandCover-2,RoadClass-3,0
