PipeID,Age,Diameter,Depth,Slope,Length,Pipe_Type,Connection_Type,Pipe_Form,Material,Rainfall,Geology,Groundwater,Soil_Type,Landslide_Area,Population,Building_Area,Land_Cover,Distance_to_Road,Traffic_Volume,Condition_Classes
144154,8,200,-1.9,2.95,49.59,Stormwater,Others,S,PVC,148.96,Geology-0,14.97,SoilType-5,No,197,No,LandCover-1,RoadClass-0,0,0
139650,44,200,-0.62,2.65,59.58,Wastewater,Others,S,BET,139.8,Geology-0,26.22,SoilType-6,No,167,No,LandCover-1,RoadClass-0,0,1
4956,40,160,-1.89,4.1,23.56,Stormwater,MUF,S,PVC,137.07,Geology-2,14.87,SoilType-1,No,70,No,LandCover-2,RoadClass-0,0,1
65611,24,200,-1.59,32.28,9.55,Combined,MUF,S,BET,135.83,Geology-2,16.12,SoilType-5,No,251,No,LandCover-4,RoadClass-3,0,1
69407,40,200,-2.11,1.79,62.3,Stormwater,IM,S,BET,146.64,Geology-0,17.33,SoilType-9,No,81,No,LandCover-2,RoadClass-0,0,1
78057,47,185,-0.89,0.91,30.65,Wastewater,MUF,S,BET,127.57,Geology-2,36.14,SoilType-5,No,138,No,LandCover-2,RoadClass-2,0,0
163749,0,315,-1.73,-1.11,55.54,Stormwater,Others,S,PPP,118.65,Geology-2,15.58,SoilType-9,No,129,No,LandCover-2,RoadClass-1,5100,0
58846,31,200,-1.52,-0.3,23.28,Combined,MUF,S,PVC,124.81,Geology-2,16.1,SoilType-6,No,171,No,LandCover-4,RoadClass-0,0,0
145175,9,200,-1.32,1.86,32.47,Combined,Others,S,PVC,106.79,Geology-2,15.49,SoilType-2,No,216,No,LandCover-1,RoadClass-0,0,0
164073,1,200,-1.99,0.62,45.09,Wastewater,Others,S,PVC,144.89,Geology-0,24.58,SoilType-4,No,208,No,LandCover-2,RoadClass-0,0,0
13824,18,300,-4.67,18.93,20.13,Combined,MUF,S,Others,97.76,Geology-2,15.48,SoilType-2,No,498,No,LandCover-1,RoadClass-2,0,1
162115,1,160,-1.58,-3.93,57.22,Wastewater,Others,S,PVC,126.05,Geology-2,16.36,SoilType-6,No,146,No,LandCover-2,RoadClass-0,0,0
162928,0,200,-3.11,0.83,41.03,Wastewater,Others,S,PVC,145.15,Geology-0,24.03,SoilType-9,No,94,No,LandCover-1,RoadClass-1,0,0
138888,5,160,-2.22,2.24,24.36,Wastewater,MUF,S,PVC,137.03,Geology-2,23.56,SoilType-4,No,231,No,LandCover-2,RoadClass-0,0,0
63128,47,375,-1.64,2.02,36.4,Stormwater,MUF,S,BET,133.13,Geology-2,18.65,SoilType-9,No,78,No,LandCover-1,RoadClass-2,0,1
57512,29,315,-1.69,0.25,40.64,Wastewater,Others,S,PVC,143.58,Geology-2,20.55,SoilType-9,No,19,No,LandCover-4,RoadClass-4,0,0
161737,55,400,-1.32,-0.06,41.23,Stormwater,Others,S,BET,122.41,Geology-2,15.61,SoilType-9,No,109,No,LandCover-4,RoadClass-0,0,0
133488,12,200,-1.99,1.01,49.03,Wastewater,Others,S,PVC,109.99,Geology-2,15.53,SoilType-2,No,342,No,LandCover-1,RoadClass-0,0,0
4235,90,300,-1.73,0.76,19.54,Combined,MUF,S,BET,123.13,Geology-2,15.51,SoilType-2,No,195,No,LandCover-4,RoadClass-2,0,1
65746,25,225,-0.59,1.06,54.17,Combined,MUF,S,BET,135.72,Geology-2,15.72,SoilType-5,No,195,No,LandCover-1,RoadClass-0,6800,1
73524,19,160,-1.47,-9.57,0.96,Combined,Others,S,PVC,104.71,Geology-2,15.47,SoilType-2,No,85,No,LandCover-1,RoadClass-0,0,1
75784,40,600,-2.01,-1.75,19.61,Combined,MUF,S,PVC,105.2,Geology-2,15.48,SoilType-2,No,6,No,LandCover-1,RoadClass-0,15200,0
71397,54,225,-1.66,4,30.03,Combined,MUF,S,BET,122.4,Geology-2,15.7,SoilType-9,No,138,No,LandCover-4,RoadClass-1,0,0
63650,36,200,-1.38,1.22,32.01,Wastewater,Others,S,BET,132.64,Geology-0,20.67,SoilType-5,No,130,No,LandCover-2,RoadClass-2,0,1
142833,3,200,-1.94,-4.14,29.27,Stormwater,Others,S,PVC,134.79,Geology-2,19.63,SoilType-5,No,204,No,LandCover-4,RoadClass-3,0,0
65754,46,200,-1.21,1.43,63.47,Combined,Others,S,BET,135.89,Geology-2,17.34,SoilType-5,No,195,No,LandCover-4,RoadClass-0,0,1
164092,1,250,-1.82,-3.02,81.44,Stormwater,Others,S,PVC,143.84,Geology-0,25.07,SoilType-5,No,208,No,LandCover-4,RoadClass-0,0,0
158000,1,250,-1.34,4.8,59.69,Stormwater,Others,S,PVC,122.59,Geology-2,17.78,SoilType-6,No,111,No,LandCover-2,RoadClass-0,0,0
154691,0,315,-1.47,0.59,41.35,Wastewater,Others,S,PVC,145.94,Geology-0,13.73,SoilType-9,No,87,No,LandCover-2,RoadClass-1,0,0
156673,13,160,-4.16,13.85,11.01,Wastewater,Others,S,PVC,115.69,Geology-2,15.61,SoilType-5,No,157,No,LandCover-2,RoadClass-1,0,0
80331,20,200,-1.12,2.68,62.61,Wastewater,Others,S,PVC,112.27,Geology-2,15.54,SoilType-0,No,330,No,LandCover-2,RoadClass-0,0,0
152415,47,300,-1.22,1.1,54.22,Combined,MUF,S,BET,145.35,Geology-0,13.94,SoilType-9,No,129,No,LandCover-2,RoadClass-0,0,1
69504,40,200,-1.12,0.59,37.01,Stormwater,IM,S,BET,146.53,Geology-0,17.12,SoilType-9,No,81,No,LandCover-1,RoadClass-0,0,1
65773,48,225,-1.06,0.54,60.41,Combined,MUF,S,BET,135.21,Geology-2,16.46,SoilType-5,No,195,No,LandCover-4,RoadClass-0,6800,1
159196,1,160,-1.7,2.34,33.86,Wastewater,Others,S,PVC,149.48,Geology-0,2.65,SoilType-9,No,24,No,LandCover-1,RoadClass-0,0,0
151473,0,250,-1.2,0.49,94.42,Stormwater,Others,S,PPP,117,Geology-2,15.57,SoilType-9,No,0,No,LandCover-1,RoadClass-0,5100,0
55333,39,700,-0.84,1.28,58.62,Combined,MUF,S,BET,138.78,Geology-2,21.59,SoilType-2,No,62,No,LandCover-1,RoadClass-1,0,1
59368,46,225,-0.67,0.89,53.17,Combined,MUF,S,BET,124.25,Geology-2,16.21,SoilType-9,No,106,No,LandCover-1,RoadClass-0,8700,1
164577,1,315,-1.55,2.55,41.06,Stormwater,Others,S,PVC,142.92,Geology-0,25.42,SoilType-5,No,208,No,LandCover-4,RoadClass-0,0,0
164199,1,200,-1.82,3.8,79.02,Wastewater,Others,S,PVC,142.06,Geology-0,26.04,SoilType-9,No,64,No,LandCover-1,RoadClass-0,0,0
59702,51,250,-1.55,2.05,24.42,Combined,MUF,S,BET,127.02,Geology-0,16.8,SoilType-9,No,111,No,LandCover-2,RoadClass-2,0,0
73965,99,300,-1.62,7.85,13.28,Combined,Others,S,Others,106.63,Geology-2,15.5,SoilType-2,No,546,No,LandCover-1,RoadClass-0,0,1
89084,16,150,-1.74,3.93,23.04,Wastewater,MUF,S,Others,125.17,Geology-2,16.15,SoilType-6,No,181,No,LandCover-4,RoadClass-3,0,1
162121,1,250,-1.74,-6.58,38.21,Stormwater,Others,S,PVC,126.09,Geology-2,16.35,SoilType-6,No,146,No,LandCover-2,RoadClass-0,0,0
68309,40,200,-1.9,7.7,14.98,Wastewater,IM,S,BET,147.37,Geology-0,10.72,SoilType-9,No,191,No,LandCover-2,RoadClass-1,0,1
66606,56,200,-1.22,6.6,18.97,Wastewater,MUF,S,BET,131.13,Geology-2,30.31,SoilType-5,No,38,No,LandCover-2,RoadClass-0,0,0
52917,24,300,-1.76,0.58,28.11,Combined,MUF,S,Others,143,Geology-0,15.65,SoilType-9,No,130,No,LandCover-2,RoadClass-0,0,1
27743,28,200,-1.92,6.07,18.78,Wastewater,Others,S,PVC,112.7,Geology-2,15.55,SoilType-2,No,330,No,LandCover-1,RoadClass-0,0,0
66651,47,185,-0.89,3.43,45.78,Wastewater,MUF,S,PVC,128.46,Geology-2,34.31,SoilType-5,No,138,No,LandCover-2,RoadClass-1,0,1
5607,55,400,-0.63,4.01,51.64,Stormwater,MUF,S,BET,122.48,Geology-2,15.72,SoilType-9,No,104,No,LandCover-1,RoadClass-0,0,1
71122,89,230,-1.64,0.94,27.4,Combined,MUF,S,BET,111,Geology-2,15.53,SoilType-0,No,330,No,LandCover-1,RoadClass-0,0,1
69880,40,200,-1.43,1.3,15.42,Wastewater,IM,S,PVC,148.31,Geology-0,18.56,SoilType-6,No,15,No,LandCover-5,RoadClass-4,0,0
70196,28,200,-0.44,5.66,63.33,Stormwater,IM,S,BET,150.58,Geology-0,11.57,SoilType-9,No,26,No,LandCover-2,RoadClass-1,0,0
14038,40,630,-1.7,0.87,23.1,Combined,Others,S,PVC,103.5,Geology-2,15.47,SoilType-2,No,85,No,LandCover-1,RoadClass-0,0,0
3287,8,160,-2.63,0.33,67.25,Wastewater,Others,S,PVC,143.9,Geology-2,14.35,SoilType-3,No,0,No,LandCover-1,RoadClass-0,0,0
164593,0,200,-2.39,2.63,41.53,Wastewater,Others,S,PVC,142.98,Geology-0,25.42,SoilType-5,No,208,No,LandCover-4,RoadClass-0,0,0
73953,49,250,-0.67,5.96,58.23,Combined,Others,S,PVC,106.08,Geology-2,15.48,SoilType-2,No,542,No,LandCover-1,RoadClass-0,0,1
65514,40,200,-3.63,0.7,54.48,Combined,Others,S,BET,137.03,Geology-2,14.84,SoilType-5,No,70,No,LandCover-4,RoadClass-0,0,0
66251,18,200,-1.08,0.25,57.63,Wastewater,MUF,S,BET,131.99,Geology-0,25.41,SoilType-5,No,3,No,LandCover-2,RoadClass-2,0,1
20338,54,400,-2.13,0.52,79.33,Combined,MUF,S,BET,119.07,Geology-2,15.59,SoilType-9,No,129,No,LandCover-2,RoadClass-1,0,1
154135,0,300,-1.7,0.49,26.25,Stormwater,Others,S,PPP,143.83,Geology-0,14.69,SoilType-9,No,178,No,LandCover-2,RoadClass-4,0,0
70511,47,150,-1.68,3.18,46.54,Combined,MUF,S,BET,144.89,Geology-0,14.85,SoilType-9,No,133,No,LandCover-4,RoadClass-1,0,1
20364,50,230,-2.06,3.66,28.44,Combined,MUF,S,BET,120.18,Geology-2,15.58,SoilType-9,No,155,No,LandCover-2,RoadClass-1,0,0
61097,38,200,-2.56,1.05,34.59,Wastewater,Others,S,PVC,129.31,Geology-2,19.45,SoilType-3,No,5,No,LandCover-2,RoadClass-3,0,0
57520,29,315,-1.02,0.31,22.23,Wastewater,Others,S,PVC,141.12,Geology-2,19.72,SoilType-5,No,19,No,LandCover-4,RoadClass-4,0,0
67718,33,200,-0.07,4.65,37.17,Wastewater,IM,S,BET,143.66,Geology-0,16.31,SoilType-9,No,55,No,LandCover-1,RoadClass-1,0,1
70510,47,225,-0.85,2.63,37.94,Combined,MUF,S,BET,144.97,Geology-0,14.83,SoilType-9,No,133,No,LandCover-1,RoadClass-0,0,1
57606,28,315,-1.24,1.5,9.9,Wastewater,Others,S,PVC,147.07,Geology-0,22.69,SoilType-9,No,0,No,LandCover-4,RoadClass-3,0,0
67755,33,300,-2.08,0.55,33.39,Combined,IM,S,BET,143.74,Geology-0,16.16,SoilType-9,No,55,No,LandCover-4,RoadClass-4,0,0
159414,1,250,-2.11,4.39,55,Combined,Others,S,BET,127.65,Geology-0,16.92,SoilType-9,No,80,No,LandCover-2,RoadClass-1,0,0
69429,45,315,-1.26,3.64,18.28,Wastewater,IM,S,BET,147.33,Geology-0,18.58,SoilType-5,No,12,No,LandCover-2,RoadClass-0,0,0
71401,54,225,-1.33,0.67,29.11,Combined,MUF,S,BET,122.38,Geology-2,15.72,SoilType-9,No,138,No,LandCover-2,RoadClass-0,0,1
159389,1,315,-2.34,4.98,34.03,Stormwater,Others,S,PVC,122.51,Geology-2,15.49,SoilType-2,No,91,No,LandCover-1,RoadClass-0,0,0
162368,1,200,-1.97,1.39,43.82,Wastewater,Others,S,PVC,126.04,Geology-0,16.37,SoilType-4,No,146,No,LandCover-2,RoadClass-0,0,0
170373,6,315,-2.09,-3.54,24.39,Wastewater,Others,S,PVC,105.77,Geology-2,15.47,SoilType-2,No,171,No,LandCover-1,RoadClass-0,0,0
47591,86,150,-0.48,5.31,21.62,Combined,MUF,S,BET,107.08,Geology-2,15.49,SoilType-2,No,382,No,LandCover-1,RoadClass-2,0,1
13787,86,250,-1.95,6.16,41.11,Combined,Others,S,Others,98.73,Geology-2,15.45,SoilType-2,Yes,523,No,LandCover-1,RoadClass-0,0,1
13804,90,225,-0.86,2.03,37.67,Combined,Others,S,Others,97.24,Geology-2,15.46,SoilType-2,No,523,No,LandCover-1,RoadClass-0,0,1
158391,1,200,-1.04,3.22,20.72,Stormwater,Others,S,PVC,149.04,Geology-0,2.65,SoilType-5,No,42,No,LandCover-2,RoadClass-0,0,0
158242,1,250,-1.34,5,116.16,Stormwater,Others,S,PVC,122.53,Geology-2,15.67,SoilType-6,No,111,No,LandCover-4,RoadClass-0,0,0
65690,46,225,-1.6,2.96,45.99,Combined,MUF,S,BET,135.31,Geology-2,17.15,SoilType-5,No,195,No,LandCover-4,RoadClass-1,0,1
56621,34,225,-4.37,7.8,52.76,Wastewater,MUF,S,BET,139.8,Geology-2,24.51,SoilType-4,No,180,No,LandCover-4,RoadClass-1,0,0
61061,55,250,-3.32,7.89,28.47,Combined,MUF,S,BET,128.37,Geology-0,19.2,SoilType-9,No,56,No,LandCover-3,RoadClass-1,0,1
154547,1,200,-2.22,4.83,26.89,Combined,Others,S,PVC,104.97,Geology-2,15.46,SoilType-2,No,320,No,LandCover-1,RoadClass-0,0,0
66839,36,200,-0.89,0.41,31.78,Combined,Others,S,PVC,125.86,Geology-2,41.26,SoilType-4,No,79,No,LandCover-2,RoadClass-2,0,0
73930,47,225,-1.96,0.56,57.41,Wastewater,MUF,S,BET,144.84,Geology-0,15.2,SoilType-9,No,0,No,LandCover-1,RoadClass-0,0,0
66610,46,200,-2.01,4.76,25.59,Wastewater,MUF,S,PVC,129.51,Geology-2,32.62,SoilType-6,No,130,No,LandCover-2,RoadClass-0,0,0
164459,0,200,-1.21,14.02,3.55,Wastewater,Others,S,PVC,143.37,Geology-2,23.38,SoilType-5,No,94,No,LandCover-2,RoadClass-0,0,0
123588,9,250,-2.16,3.54,93.3,Combined,Others,S,Others,145.62,Geology-0,13.17,SoilType-9,No,59,No,LandCover-1,RoadClass-0,0,0
144349,7,200,-2.7,1.66,31.91,Wastewater,Others,S,PVC,149.05,Geology-0,14.53,SoilType-5,No,197,No,LandCover-4,RoadClass-0,0,0
13798,96,250,-1.06,6.08,8.97,Combined,Others,S,Others,98.45,Geology-2,15.45,SoilType-2,Yes,523,No,LandCover-1,RoadClass-0,0,1
72702,37,315,-2.42,1.34,12.13,Combined,Others,S,PVC,104.31,Geology-2,15.48,SoilType-2,No,85,No,LandCover-2,RoadClass-0,0,0
23563,48,225,-1.93,5.79,28.38,Combined,MUF,S,BET,118.09,Geology-2,15.57,SoilType-9,No,303,No,LandCover-2,RoadClass-1,0,1
78495,13,400,-1.64,0.14,54.44,Combined,Others,S,PVC,139.84,Geology-2,24.1,SoilType-4,No,180,No,LandCover-4,RoadClass-0,0,0
158883,0,200,-2.25,1.3,78.59,Stormwater,Others,S,PVC,140.29,Geology-0,26.54,SoilType-5,No,63,No,LandCover-1,RoadClass-0,0,0
165510,0,200,-1.33,0.63,37.38,Stormwater,Others,S,PVC,118.7,Geology-2,15.57,SoilType-9,No,230,No,LandCover-2,RoadClass-1,0,0
133863,5,225,-2.22,0.13,40.89,Combined,MUF,S,BET,124.36,Geology-2,16.2,SoilType-4,No,180,No,LandCover-2,RoadClass-1,0,1
77108,38,200,-1.82,0.25,30.11,Combined,Others,S,PVC,105.51,Geology-2,15.47,SoilType-2,No,171,No,LandCover-2,RoadClass-0,0,0
3953,46,225,-1.03,5.55,52.3,Combined,MUF,S,BET,122.48,Geology-2,15.49,SoilType-2,No,115,No,LandCover-4,RoadClass-0,0,1
67476,47,300,-1.95,0.39,34.57,Wastewater,MUF,S,BET,146.01,Geology-0,13.74,SoilType-7,No,87,No,LandCover-1,RoadClass-2,0,1
112189,11,160,-1.84,5.26,32.34,Wastewater,Others,S,PVC,150.64,Geology-0,11.51,SoilType-9,No,26,No,LandCover-4,RoadClass-0,0,0
2265,44,200,-2.67,0.86,50.05,Wastewater,Others,S,PVC,112.03,Geology-2,15.62,SoilType-5,No,25,No,LandCover-2,RoadClass-2,0,0
53252,33,1000,-2.69,3.66,21.93,Stormwater,MUF,S,BET,141.01,Geology-2,10.89,SoilType-9,No,71,No,LandCover-2,RoadClass-4,0,1
9487,52,225,-1.26,14.17,21.99,Combined,Others,S,Others,107.29,Geology-2,15.44,SoilType-2,No,405,No,LandCover-1,RoadClass-1,0,1
60644,52,200,-1.91,3.24,4.21,Stormwater,MUF,S,BET,129.73,Geology-2,16.73,SoilType-6,No,138,No,LandCover-1,RoadClass-1,8700,1
62494,46,150,-3.71,1.03,42.01,Wastewater,MUF,S,BET,131.23,Geology-2,19.06,SoilType-6,No,120,No,LandCover-4,RoadClass-1,12750,1
4240,68,300,-0.94,1.68,25.27,Combined,MUF,S,BET,123.18,Geology-2,15.51,SoilType-2,No,195,No,LandCover-4,RoadClass-2,0,1
20361,50,230,-1.57,0.82,34.87,Combined,MUF,S,BET,120.42,Geology-2,15.59,SoilType-9,No,170,No,LandCover-2,RoadClass-1,0,0
70506,47,225,-0.71,4,36.81,Wastewater,MUF,S,BET,144.92,Geology-0,14.88,SoilType-9,No,133,No,LandCover-2,RoadClass-0,0,0
70978,45,150,-2.05,1.62,61.33,Combined,MUF,S,BET,128.17,Geology-2,15.62,SoilType-9,No,114,No,LandCover-2,RoadClass-1,0,1
56691,35,160,-0.24,2.47,33.12,Wastewater,Others,S,PVC,137.59,Geology-0,26.45,SoilType-5,No,207,No,LandCover-1,RoadClass-2,0,0
56696,35,300,-1.37,-0.73,45.15,Stormwater,MUF,S,BET,137.97,Geology-0,25.87,SoilType-5,No,180,No,LandCover-1,RoadClass-0,0,1
64921,1,225,-2.45,4.7,34.32,Combined,MUF,S,BET,134.03,Geology-0,21.75,SoilType-5,No,121,No,LandCover-2,RoadClass-1,0,1
59708,52,200,-1.87,1.39,21.6,Wastewater,MUF,S,BET,127.03,Geology-0,16.76,SoilType-4,No,66,No,LandCover-2,RoadClass-0,0,1
52918,24,300,-0.78,0.77,47.28,Combined,MUF,S,Others,143.08,Geology-0,15.72,SoilType-9,No,130,No,LandCover-2,RoadClass-1,0,0
154407,1,300,-2.03,2.6,35.73,Stormwater,Others,S,PPP,143.69,Geology-0,14.74,SoilType-9,No,178,No,LandCover-4,RoadClass-2,0,0
1849,31,200,-0.46,4.01,41.8,Stormwater,MUF,S,BET,123.34,Geology-2,17.92,SoilType-9,No,236,No,LandCover-2,RoadClass-3,0,0
4248,68,225,-1.71,4.17,13.45,Combined,MUF,S,BET,123.52,Geology-2,15.49,SoilType-2,No,195,No,LandCover-2,RoadClass-1,0,1
69056,33,400,-2.36,18.52,2.07,Stormwater,IM,S,BET,149.25,Geology-0,9.37,SoilType-7,No,124,No,LandCover-1,RoadClass-0,0,1
57602,28,315,-0.72,0.1,59.6,Wastewater,Others,S,PVC,147.29,Geology-0,22.98,SoilType-9,No,94,No,LandCover-1,RoadClass-4,0,0
148460,15,200,-1.09,-2.82,63.19,Wastewater,Others,S,PVC,145.59,Geology-0,14.19,SoilType-9,No,87,No,LandCover-1,RoadClass-0,0,0
73499,40,600,-1.81,0.25,51.55,Combined,Others,S,PVC,105.03,Geology-2,15.48,SoilType-2,No,85,No,LandCover-1,RoadClass-0,0,0
163423,1,315,-2.8,0.44,84.34,Stormwater,Others,S,PPP,144.34,Geology-0,22.96,SoilType-4,No,71,No,LandCover-2,RoadClass-0,0,0
55433,38,200,-2.19,0.12,42.68,Wastewater,MUF,S,BET,140.44,Geology-0,20.56,SoilType-4,No,68,No,LandCover-2,RoadClass-3,0,0
162869,61,300,-5.14,11.93,32.5,Combined,MUF,S,BET,130.89,Geology-2,16.54,SoilType-9,No,181,No,LandCover-2,RoadClass-0,0,1
159690,1,250,-2.29,6.14,68.87,Stormwater,Others,S,PVC,122.44,Geology-2,15.47,SoilType-2,No,115,No,LandCover-2,RoadClass-0,0,0
12353,2,300,-1.93,0.85,63.63,Combined,MUF,S,Others,119.82,Geology-2,15.43,SoilType-3,No,151,No,LandCover-4,RoadClass-0,0,0
157290,1,200,-1.67,2.67,71.72,Wastewater,Others,S,PVC,119.62,Geology-2,15.58,SoilType-9,No,230,No,LandCover-2,RoadClass-0,0,0
73967,54,250,-3.15,0.03,52.02,Combined,MUF,S,BET,106.08,Geology-2,15.47,SoilType-0,No,542,No,LandCover-3,RoadClass-0,0,1
135165,42,300,-1.74,5.17,13.55,Combined,MUF,S,BET,141.89,Geology-0,24.95,SoilType-4,No,190,No,LandCover-2,RoadClass-0,0,0
151457,7,250,-1.27,0.94,94.3,Combined,Others,S,PVC,105.97,Geology-2,15.47,SoilType-0,No,542,No,LandCover-2,RoadClass-0,0,0
73219,35,600,-2.4,0.71,46.96,Combined,Others,S,PVC,105.99,Geology-2,15.49,SoilType-2,No,376,No,LandCover-1,RoadClass-0,13550,0
1298,48,160,-2.7,6.09,31.84,Wastewater,Others,S,PVC,122.53,Geology-0,15.76,SoilType-4,No,11,No,LandCover-1,RoadClass-0,0,1
24445,50,300,-1.87,1.07,34.76,Combined,MUF,S,BET,117.71,Geology-2,15.57,SoilType-9,No,303,No,LandCover-4,RoadClass-1,0,1
66543,35,200,-2.17,8.87,17.24,Wastewater,Others,S,PVC,130.57,Geology-2,32.28,SoilType-5,No,130,No,LandCover-2,RoadClass-2,0,0
164592,1,315,-1.45,2.56,52.9,Stormwater,Others,S,PVC,142.42,Geology-0,25.63,SoilType-5,No,208,No,LandCover-1,RoadClass-0,0,0
